instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-t75e11xx_150,41570193,39970280,0.954278,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t75k11xx_150,1541596,1510494,2.11061,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t75k11xx_150,1541596,1494568,1.20487,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t75n11xx_150,1743094,1687682,1.85389,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t75n11xx_150,1743094,1680719,0.87099,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n54_150,837945,814588,1.67191,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n54_150,837945,812468,0.985419,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n58_150,1155392,1128151,1.73334,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n58_150,1155392,1110388,0.876544,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n62_150,1626921,1574467,1.77274,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n62_150,1626921,1561292,0.664095,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n66_150,2107619,2057063,1.95552,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n66_150,2107619,2038553,1.04041,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n67_150,2372926,2321473,1.94213,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n67_150,2372926,2282351,0.867891,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n72_150,4135907,4040299,1.92765,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n72_150,4135907,3992427,0.88147,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r54_150,958192,930154,1.7959,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r54_150,958192,931062,0.935684,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r58_150,1219295,1177767,1.8721,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r58_150,1219295,1183459,1.20639,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r66_150,1940755,1878285,1.91612,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r66_150,1940755,1845334,0.808916,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r67_150,2056347,1995582,1.96736,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r67_150,2056347,1976565,0.829826,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
