instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-stabu2_150,4327538,4189222,0.5192,vnd,best,['insert'],c_and_w,
N-stabu3_150,4510445,2707411,9.1e-05,vnd,first,['transpose'],random,
N-stabu3_150,4510445,3559044,9.2e-05,vnd,first,['transpose'],c_and_w,
N-stabu3_150,4510445,4398699,1.56426,vnd,first,['exchange'],random,
N-stabu3_150,4510445,4410405,1.40692,vnd,first,['exchange'],c_and_w,
N-stabu3_150,4510445,4330709,0.536298,vnd,first,['insert'],random,
N-stabu3_150,4510445,4357245,0.398599,vnd,first,['insert'],c_and_w,
N-stabu3_150,4510445,2702942,0.00021,vnd,best,['transpose'],random,
N-stabu3_150,4510445,3564470,0.000229,vnd,best,['transpose'],c_and_w,
N-stabu3_150,4510445,4350861,0.279431,vnd,best,['exchange'],random,
N-stabu3_150,4510445,4382270,0.322783,vnd,best,['exchange'],c_and_w,
N-stabu3_150,4510445,4353021,0.534301,vnd,best,['insert'],random,
N-stabu3_150,4510445,4404425,0.441926,vnd,best,['insert'],c_and_w,
N-t59b11xx_150,3239550,2190795,5.6e-05,vnd,first,['transpose'],random,
N-t59b11xx_150,3239550,2447230,4.5e-05,vnd,first,['transpose'],c_and_w,
N-t59b11xx_150,3239550,3173245,1.14039,vnd,first,['exchange'],random,
N-t59b11xx_150,3239550,3152415,0.859923,vnd,first,['exchange'],c_and_w,
N-t59b11xx_150,3239550,3075275,0.261167,vnd,first,['insert'],random,
N-t59b11xx_150,3239550,3101540,0.297497,vnd,first,['insert'],c_and_w,
N-t59b11xx_150,3239550,2187470,0.000127,vnd,best,['transpose'],random,
N-t59b11xx_150,3239550,2450455,0.000169,vnd,best,['transpose'],c_and_w,
N-t59b11xx_150,3239550,3127495,0.259579,vnd,best,['exchange'],random,
N-t59b11xx_150,3239550,3141920,0.246799,vnd,best,['exchange'],c_and_w,
N-t59b11xx_150,3239550,3116150,0.444034,vnd,best,['insert'],random,
N-t59b11xx_150,3239550,3120510,0.506646,vnd,best,['insert'],c_and_w,
N-t59d11xx_150,1462697,944878,5.7e-05,vnd,first,['transpose'],random,
N-t59d11xx_150,1462697,1110698,5e-05,vnd,first,['transpose'],c_and_w,
N-t59d11xx_150,1462697,1420614,1.1686,vnd,first,['exchange'],random,
N-t59d11xx_150,1462697,1416478,1.1588,vnd,first,['exchange'],c_and_w,
N-t59d11xx_150,1462697,1418225,0.44116,vnd,first,['insert'],random,
N-t59d11xx_150,1462697,1402064,0.441791,vnd,first,['insert'],c_and_w,
N-t59d11xx_150,1462697,947513,0.000178,vnd,best,['transpose'],random,
N-t59d11xx_150,1462697,1111168,0.000147,vnd,best,['transpose'],c_and_w,
N-t59d11xx_150,1462697,1408677,0.287055,vnd,best,['exchange'],random,
N-t59d11xx_150,1462697,1413204,0.213044,vnd,best,['exchange'],c_and_w,
N-t59d11xx_150,1462697,1405084,0.609723,vnd,best,['insert'],random,
N-t59d11xx_150,1462697,1405375,0.507938,vnd,best,['insert'],c_and_w,
N-t59f11xx_150,1543733,1021697,4.1e-05,vnd,first,['transpose'],random,
N-t59f11xx_150,1543733,1202538,3.7e-05,vnd,first,['transpose'],c_and_w,
N-t59f11xx_150,1543733,1489560,0.756332,vnd,first,['exchange'],random,
N-t59f11xx_150,1543733,1495697,1.15864,vnd,first,['exchange'],c_and_w,
N-t59f11xx_150,1543733,1487218,0.394085,vnd,first,['insert'],random,
N-t59f11xx_150,1543733,1479441,0.426651,vnd,first,['insert'],c_and_w,
N-t59f11xx_150,1543733,1025202,0.000177,vnd,best,['transpose'],random,
N-t59f11xx_150,1543733,1204498,0.000132,vnd,best,['transpose'],c_and_w,
N-t59f11xx_150,1543733,1490221,0.257882,vnd,best,['exchange'],random,
N-t59f11xx_150,1543733,1490682,0.235857,vnd,best,['exchange'],c_and_w,
N-t59f11xx_150,1543733,1492960,0.583499,vnd,best,['insert'],random,
N-t59f11xx_150,1543733,1492754,0.549927,vnd,best,['insert'],c_and_w,
N-t59n11xx_150,318960,204106,4.6e-05,vnd,first,['transpose'],random,
N-t59n11xx_150,318960,235383,4.4e-05,vnd,first,['transpose'],c_and_w,
N-t59n11xx_150,318960,309357,1.3172,vnd,first,['exchange'],random,
N-t59n11xx_150,318960,309639,1.06734,vnd,first,['exchange'],c_and_w,
N-t59n11xx_150,318960,305574,0.471109,vnd,first,['insert'],random,
N-t59n11xx_150,318960,303303,0.496161,vnd,first,['insert'],c_and_w,
N-t59n11xx_150,318960,202548,0.000141,vnd,best,['transpose'],random,
N-t59n11xx_150,318960,235656,0.00014,vnd,best,['transpose'],c_and_w,
N-t59n11xx_150,318960,309362,0.3477,vnd,best,['exchange'],random,
N-t59n11xx_150,318960,307164,0.260606,vnd,best,['exchange'],c_and_w,
N-t59n11xx_150,318960,310411,0.517779,vnd,best,['insert'],random,
N-t59n11xx_150,318960,309228,0.496337,vnd,best,['insert'],c_and_w,
N-t65b11xx_150,6453836,4321260,5.6e-05,vnd,first,['transpose'],random,
N-t65b11xx_150,6453836,5083985,9.4e-05,vnd,first,['transpose'],c_and_w,
N-t65b11xx_150,6453836,6288862,1.76761,vnd,first,['exchange'],random,
N-t65b11xx_150,6453836,6257419,1.1368,vnd,first,['exchange'],c_and_w,
N-t65b11xx_150,6453836,6126374,0.377406,vnd,first,['insert'],random,
N-t65b11xx_150,6453836,6196205,0.553086,vnd,first,['insert'],c_and_w,
N-t65b11xx_150,6453836,4336920,0.000214,vnd,best,['transpose'],random,
N-t65b11xx_150,6453836,5086579,0.0002,vnd,best,['transpose'],c_and_w,
N-t65b11xx_150,6453836,6155506,0.293806,vnd,best,['exchange'],random,
N-t65b11xx_150,6453836,6232952,0.189699,vnd,best,['exchange'],c_and_w,
N-t65b11xx_150,6453836,6181702,0.626149,vnd,best,['insert'],random,
N-t65b11xx_150,6453836,6262305,0.550077,vnd,best,['insert'],c_and_w,
N-t65d11xx_150,3559347,2385962,9e-05,vnd,first,['transpose'],random,
N-t65d11xx_150,3559347,2777233,6.3e-05,vnd,first,['transpose'],c_and_w,
N-t65d11xx_150,3559347,3451744,1.41233,vnd,first,['exchange'],random,
N-t65d11xx_150,3559347,3443247,1.07431,vnd,first,['exchange'],c_and_w,
N-t65d11xx_150,3559347,3415661,0.491083,vnd,first,['insert'],random,
N-t65d11xx_150,3559347,3400253,0.536332,vnd,first,['insert'],c_and_w,
N-t65d11xx_150,3559347,2398550,0.000245,vnd,best,['transpose'],random,
N-t65d11xx_150,3559347,2789357,0.000181,vnd,best,['transpose'],c_and_w,
N-t65d11xx_150,3559347,3436373,0.329811,vnd,best,['exchange'],random,
N-t65d11xx_150,3559347,3429156,0.260696,vnd,best,['exchange'],c_and_w,
N-t65d11xx_150,3559347,3433003,0.42588,vnd,best,['insert'],random,
N-t65d11xx_150,3559347,3464249,0.419509,vnd,best,['insert'],c_and_w,
N-t65f11xx_150,3159326,2224950,8.2e-05,vnd,first,['transpose'],random,
N-t65f11xx_150,3159326,2435847,8e-05,vnd,first,['transpose'],c_and_w,
