instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,ils_perturb_rate,ils_n_try,ils_worst,solution
N-be75eec_150,3482828,3417961,6.79004,ils,best,['exchange'],c_and_w,0.5,10,10,
N-be75eec_150,3482828,3435480,68.1055,ils,best,['exchange'],c_and_w,0.5,100,0,
N-be75eec_150,3482828,3435480,65.2684,ils,best,['exchange'],c_and_w,0.5,100,10,
N-be75eec_150,3482828,3398694,7.57317,ils,best,['exchange'],c_and_w,0.8,10,0,
N-be75eec_150,3482828,3398694,6.42847,ils,best,['exchange'],c_and_w,0.8,10,10,
N-be75eec_150,3482828,3423823,72.2791,ils,best,['exchange'],c_and_w,0.8,100,0,
N-be75eec_150,3482828,3423823,72.4618,ils,best,['exchange'],c_and_w,0.8,100,10,
N-be75eec_150,3482828,3431770,4.61816,ils,best,['exchange'],random,0.2,10,0,
N-be75eec_150,3482828,3431770,6.72893,ils,best,['exchange'],random,0.2,10,10,
N-be75eec_150,3482828,3445409,68.6432,ils,best,['exchange'],random,0.2,100,0,
N-be75eec_150,3482828,3459544,98.4369,ils,best,['exchange'],random,0.2,100,10,
N-be75eec_150,3482828,3424424,6.86977,ils,best,['exchange'],random,0.5,10,0,
N-be75eec_150,3482828,3424424,6.07973,ils,best,['exchange'],random,0.5,10,10,
N-be75eec_150,3482828,3433290,72.5311,ils,best,['exchange'],random,0.5,100,0,
N-be75eec_150,3482828,3433290,73.3724,ils,best,['exchange'],random,0.5,100,10,
N-be75eec_150,3482828,3394791,5.6194,ils,best,['exchange'],random,0.8,10,0,
N-be75eec_150,3482828,3394791,6.12961,ils,best,['exchange'],random,0.8,10,10,
N-be75eec_150,3482828,3419591,46.6232,ils,best,['exchange'],random,0.8,100,0,
N-be75eec_150,3482828,3419591,49.6846,ils,best,['exchange'],random,0.8,100,10,
N-be75eec_150,3482828,3452325,8.67813,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,
N-be75eec_150,3482828,3452325,7.99447,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,
N-be75eec_150,3482828,3456794,59.5461,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,
N-be75eec_150,3482828,3456794,60.6054,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,
N-be75eec_150,3482828,3430507,8.33488,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,0,
N-be75eec_150,3482828,3430507,9.1043,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,10,
N-be75eec_150,3482828,3445026,65.1041,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,
N-be75eec_150,3482828,3445026,60.2398,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,10,
N-be75eec_150,3482828,3425230,16.3398,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.8,10,0,
N-be75eec_150,3482828,3425230,16.5628,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.8,10,10,
N-be75eec_150,3482828,3437035,92.3438,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.8,100,0,
N-be75eec_150,3482828,3437035,87.851,ils,best,"['transpose', 'exchange', 'insert']",c_and_w,0.8,100,10,
N-be75eec_150,3482828,3437576,5.98672,ils,best,"['transpose', 'exchange', 'insert']",random,0.2,10,0,
N-be75eec_150,3482828,3437576,6.88893,ils,best,"['transpose', 'exchange', 'insert']",random,0.2,10,10,
N-be75eec_150,3482828,3457610,108.772,ils,best,"['transpose', 'exchange', 'insert']",random,0.2,100,0,
N-be75eec_150,3482828,3456412,94.209,ils,best,"['transpose', 'exchange', 'insert']",random,0.2,100,10,
N-be75eec_150,3482828,3430297,16.632,ils,best,"['transpose', 'exchange', 'insert']",random,0.5,10,0,
N-be75eec_150,3482828,3430297,15.1432,ils,best,"['transpose', 'exchange', 'insert']",random,0.5,10,10,
N-be75eec_150,3482828,3450818,86.7518,ils,best,"['transpose', 'exchange', 'insert']",random,0.5,100,0,
N-be75eec_150,3482828,3450818,81.688,ils,best,"['transpose', 'exchange', 'insert']",random,0.5,100,10,
N-be75eec_150,3482828,3426721,12.6287,ils,best,"['transpose', 'exchange', 'insert']",random,0.8,10,0,
N-be75eec_150,3482828,3426721,12.9229,ils,best,"['transpose', 'exchange', 'insert']",random,0.8,10,10,
N-be75eec_150,3482828,3447103,83.506,ils,best,"['transpose', 'exchange', 'insert']",random,0.8,100,0,
N-be75eec_150,3482828,3447103,77.1243,ils,best,"['transpose', 'exchange', 'insert']",random,0.8,100,10,
