instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-stabu3_150,4510445,c_and_w,best,['exchange'],890822,0.374819,
N-stabu3_150,4510445,random,best,['insert'],1789387,0.598689,
N-stabu3_150,4510445,c_and_w,best,['insert'],912906,0.642937,
N-t59b11xx_150,3239550,random,first,['transpose'],26965,4e-05,
N-t59b11xx_150,3239550,c_and_w,first,['transpose'],29865,4.8e-05,
N-t59b11xx_150,3239550,random,first,['exchange'],1009415,1.31726,
N-t59b11xx_150,3239550,c_and_w,first,['exchange'],751410,1.27788,
N-t59b11xx_150,3239550,random,first,['insert'],911445,0.44564,
N-t59b11xx_150,3239550,c_and_w,first,['insert'],684175,0.42699,
N-t59b11xx_150,3239550,random,best,['transpose'],23640,0.00011,
N-t59b11xx_150,3239550,c_and_w,best,['transpose'],33090,0.00012,
N-t59b11xx_150,3239550,random,best,['exchange'],963665,0.29868,
N-t59b11xx_150,3239550,c_and_w,best,['exchange'],692975,0.229712,
N-t59b11xx_150,3239550,random,best,['insert'],952320,0.585494,
N-t59b11xx_150,3239550,c_and_w,best,['insert'],703145,0.585241,
N-t59d11xx_150,1462697,random,first,['transpose'],22441,6.4e-05,
N-t59d11xx_150,1462697,c_and_w,first,['transpose'],21980,5.5e-05,
N-t59d11xx_150,1462697,random,first,['exchange'],498177,1.56468,
N-t59d11xx_150,1462697,c_and_w,first,['exchange'],325910,1.27242,
N-t59d11xx_150,1462697,random,first,['insert'],495788,0.533971,
N-t59d11xx_150,1462697,c_and_w,first,['insert'],323310,0.566575,
N-t59d11xx_150,1462697,random,best,['transpose'],25076,0.000159,
N-t59d11xx_150,1462697,c_and_w,best,['transpose'],22450,0.000149,
N-t59d11xx_150,1462697,random,best,['exchange'],486240,0.345483,
N-t59d11xx_150,1462697,c_and_w,best,['exchange'],323184,0.308222,
N-t59d11xx_150,1462697,random,best,['insert'],482647,0.723489,
N-t59d11xx_150,1462697,c_and_w,best,['insert'],330734,0.692126,
N-t59f11xx_150,1543733,random,first,['transpose'],23940,5.8e-05,
N-t59f11xx_150,1543733,c_and_w,first,['transpose'],24092,5.3e-05,
N-t59f11xx_150,1543733,random,first,['exchange'],491803,1.3236,
N-t59f11xx_150,1543733,c_and_w,first,['exchange'],319817,1.38692,
N-t59f11xx_150,1543733,random,first,['insert'],489461,0.453045,
N-t59f11xx_150,1543733,c_and_w,first,['insert'],300766,0.513776,
N-t59f11xx_150,1543733,random,best,['transpose'],27445,0.000209,
N-t59f11xx_150,1543733,c_and_w,best,['transpose'],26052,0.000169,
N-t59f11xx_150,1543733,random,best,['exchange'],492464,0.327777,
N-t59f11xx_150,1543733,c_and_w,best,['exchange'],312185,0.281229,
N-t59f11xx_150,1543733,random,best,['insert'],495203,0.689943,
N-t59f11xx_150,1543733,c_and_w,best,['insert'],314079,0.662016,
N-t59n11xx_150,318960,random,first,['transpose'],5870,6.9e-05,
N-t59n11xx_150,318960,c_and_w,first,['transpose'],1907,5.1e-05,
N-t59n11xx_150,318960,random,first,['exchange'],111121,1.91121,
N-t59n11xx_150,318960,c_and_w,first,['exchange'],76309,1.26275,
N-t59n11xx_150,318960,random,first,['insert'],107338,0.635122,
N-t59n11xx_150,318960,c_and_w,first,['insert'],69827,0.585618,
N-t59n11xx_150,318960,random,best,['transpose'],4312,0.000146,
N-t59n11xx_150,318960,c_and_w,best,['transpose'],2180,0.000148,
N-t59n11xx_150,318960,random,best,['exchange'],111126,0.401978,
N-t59n11xx_150,318960,c_and_w,best,['exchange'],73688,0.3228,
N-t59n11xx_150,318960,random,best,['insert'],112175,0.658048,
N-t59n11xx_150,318960,c_and_w,best,['insert'],75752,0.596113,
N-t65b11xx_150,6453836,random,first,['transpose'],54077,5.9e-05,
N-t65b11xx_150,6453836,c_and_w,first,['transpose'],99651,7.9e-05,
N-t65b11xx_150,6453836,random,first,['exchange'],2021679,2.11117,
N-t65b11xx_150,6453836,c_and_w,first,['exchange'],1259076,1.52034,
N-t65b11xx_150,6453836,random,first,['insert'],1859191,0.537664,
N-t65b11xx_150,6453836,c_and_w,first,['insert'],1211906,0.662034,
N-t65b11xx_150,6453836,random,best,['transpose'],69737,0.000208,
N-t65b11xx_150,6453836,c_and_w,best,['transpose'],102280,0.00021,
N-t65b11xx_150,6453836,random,best,['exchange'],1888323,0.388153,
N-t65b11xx_150,6453836,c_and_w,best,['exchange'],1299928,0.385237,
N-t65b11xx_150,6453836,random,best,['insert'],1914519,0.750811,
N-t65b11xx_150,6453836,c_and_w,best,['insert'],1278006,0.733038,
N-t65d11xx_150,3559347,random,first,['transpose'],44265,0.000111,
N-t65d11xx_150,3559347,c_and_w,first,['transpose'],36805,7.2e-05,
N-t65d11xx_150,3559347,random,first,['exchange'],1110047,1.70045,
N-t65d11xx_150,3559347,c_and_w,first,['exchange'],702819,1.13483,
N-t65d11xx_150,3559347,random,first,['insert'],1073964,0.788042,
N-t65d11xx_150,3559347,c_and_w,first,['insert'],659825,0.705225,
N-t65d11xx_150,3559347,random,best,['transpose'],56853,0.000219,
N-t65d11xx_150,3559347,c_and_w,best,['transpose'],48929,0.000189,
N-t65d11xx_150,3559347,random,best,['exchange'],1094676,0.465248,
N-t65d11xx_150,3559347,c_and_w,best,['exchange'],688728,0.321947,
N-t65d11xx_150,3559347,random,best,['insert'],1091306,0.75588,
N-t65d11xx_150,3559347,c_and_w,best,['insert'],723821,0.670045,
