algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,best,['insert'],random,N-be75eec_150,4327538,3369650,0.131334,
vnd,best,['insert'],c_and_w,N-be75eec_150,4327538,3381254,0.137188,
vnd,first,['transpose'],random,N-be75eec_150,4510445,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,4510445,2657351,1.3e-05,
vnd,first,['exchange'],random,N-be75eec_150,4510445,3396593,0.372822,
vnd,first,['exchange'],c_and_w,N-be75eec_150,4510445,3379429,0.290434,
vnd,first,['insert'],random,N-be75eec_150,4510445,3328604,0.135813,
vnd,first,['insert'],c_and_w,N-be75eec_150,4510445,3333196,0.138329,
vnd,best,['transpose'],random,N-be75eec_150,4510445,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,4510445,2660170,7.4e-05,
vnd,best,['exchange'],random,N-be75eec_150,4510445,3373535,0.078946,
vnd,best,['exchange'],c_and_w,N-be75eec_150,4510445,3346308,0.061816,
vnd,best,['insert'],random,N-be75eec_150,4510445,3369650,0.137469,
vnd,best,['insert'],c_and_w,N-be75eec_150,4510445,3381254,0.114967,
vnd,first,['transpose'],random,N-be75eec_150,3239550,2169797,1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,3239550,2657351,3.4e-05,
vnd,first,['exchange'],random,N-be75eec_150,3239550,3396593,0.350574,
vnd,first,['exchange'],c_and_w,N-be75eec_150,3239550,3379429,0.286924,
vnd,first,['insert'],random,N-be75eec_150,3239550,3328604,0.13867,
vnd,first,['insert'],c_and_w,N-be75eec_150,3239550,3333196,0.155489,
vnd,best,['transpose'],random,N-be75eec_150,3239550,2182589,6.9e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,3239550,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,3239550,3373535,0.073626,
vnd,best,['exchange'],c_and_w,N-be75eec_150,3239550,3346308,0.071358,
vnd,best,['insert'],random,N-be75eec_150,3239550,3369650,0.13695,
