algo,pivot,neighborhood,sol_start,ils_perturb_rate,ils_n_try,ils_worst,instance,best_known_cost,cost,elapsed_seconds,solution
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3416701,1.366587,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3417870,9.49011,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3419647,12.945225,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3421054,16.663391,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3424877,19.141146,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3425495,23.526253,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3427104,45.703365,
ils,first,['exchange'],c_and_w,0.5,100,0,N-be75eec_150,3482828,3427104,82.78891,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3382794,0.282725,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3407464,0.625504,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3416701,1.341884,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3417870,9.28218,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3419647,12.647227,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3421054,16.238216,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3424877,18.669592,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3425495,22.929537,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3427104,44.794975,
ils,first,['exchange'],c_and_w,0.5,100,10,N-be75eec_150,3482828,3427104,80.854782,
ils,first,['exchange'],c_and_w,0.8,10,0,N-be75eec_150,3482828,3388288,0.782361,
ils,first,['exchange'],c_and_w,0.8,10,0,N-be75eec_150,3482828,3415293,1.152416,
ils,first,['exchange'],c_and_w,0.8,10,0,N-be75eec_150,3482828,3415907,2.17155,
ils,first,['exchange'],c_and_w,0.8,10,0,N-be75eec_150,3482828,3415907,5.773561,
ils,first,['exchange'],c_and_w,0.8,10,10,N-be75eec_150,3482828,3388288,0.77021,
ils,first,['exchange'],c_and_w,0.8,10,10,N-be75eec_150,3482828,3415293,1.145364,
ils,first,['exchange'],c_and_w,0.8,10,10,N-be75eec_150,3482828,3415907,2.152529,
ils,first,['exchange'],c_and_w,0.8,10,10,N-be75eec_150,3482828,3415907,5.79019,
ils,first,['exchange'],c_and_w,0.8,100,0,N-be75eec_150,3482828,3388288,0.752415,
ils,first,['exchange'],c_and_w,0.8,100,0,N-be75eec_150,3482828,3415293,1.131202,
ils,first,['exchange'],c_and_w,0.8,100,0,N-be75eec_150,3482828,3415907,2.174342,
ils,first,['exchange'],c_and_w,0.8,100,0,N-be75eec_150,3482828,3416664,10.205827,
ils,first,['exchange'],c_and_w,0.8,100,0,N-be75eec_150,3482828,3427398,15.282709,
ils,first,['exchange'],c_and_w,0.8,100,0,N-be75eec_150,3482828,3427398,53.449005,
ils,first,['exchange'],c_and_w,0.8,100,10,N-be75eec_150,3482828,3388288,0.751052,
ils,first,['exchange'],c_and_w,0.8,100,10,N-be75eec_150,3482828,3415293,1.120522,
ils,first,['exchange'],c_and_w,0.8,100,10,N-be75eec_150,3482828,3415907,2.133688,
ils,first,['exchange'],c_and_w,0.8,100,10,N-be75eec_150,3482828,3416664,9.958458,
ils,first,['exchange'],c_and_w,0.8,100,10,N-be75eec_150,3482828,3427398,14.998086,
ils,first,['exchange'],c_and_w,0.8,100,10,N-be75eec_150,3482828,3427398,52.720482,
ils,first,['exchange'],random,0.2,10,0,N-be75eec_150,3482828,3401171,0.236244,
ils,first,['exchange'],random,0.2,10,0,N-be75eec_150,3482828,3416633,0.519187,
ils,first,['exchange'],random,0.2,10,0,N-be75eec_150,3482828,3418192,0.768527,
ils,first,['exchange'],random,0.2,10,0,N-be75eec_150,3482828,3427149,2.458146,
ils,first,['exchange'],random,0.2,10,0,N-be75eec_150,3482828,3427149,5.024442,
ils,first,['exchange'],random,0.2,10,10,N-be75eec_150,3482828,3401171,0.212631,
ils,first,['exchange'],random,0.2,10,10,N-be75eec_150,3482828,3416633,0.507133,
ils,first,['exchange'],random,0.2,10,10,N-be75eec_150,3482828,3418192,0.741262,
ils,first,['exchange'],random,0.2,10,10,N-be75eec_150,3482828,3427149,2.42086,
ils,first,['exchange'],random,0.2,10,10,N-be75eec_150,3482828,3427149,5.03173,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3401171,0.221339,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3416633,0.527878,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3418192,0.773522,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3427149,2.418473,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3429241,5.721967,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3435294,7.050709,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3439147,22.999151,
ils,first,['exchange'],random,0.2,100,0,N-be75eec_150,3482828,3439147,47.721256,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3401171,0.199609,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3416633,0.49581,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3418192,0.745225,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3427149,2.405155,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3429241,5.69636,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3435294,7.013362,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3439147,23.027664,
ils,first,['exchange'],random,0.2,100,10,N-be75eec_150,3482828,3439147,47.803394,
ils,first,['exchange'],random,0.5,10,0,N-be75eec_150,3482828,3411727,1.020702,
ils,first,['exchange'],random,0.5,10,0,N-be75eec_150,3482828,3412873,2.659992,
ils,first,['exchange'],random,0.5,10,0,N-be75eec_150,3482828,3412873,5.95282,
ils,first,['exchange'],random,0.5,10,10,N-be75eec_150,3482828,3411727,0.997996,
ils,first,['exchange'],random,0.5,10,10,N-be75eec_150,3482828,3412873,2.682725,
ils,first,['exchange'],random,0.5,10,10,N-be75eec_150,3482828,3412873,6.090649,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3411727,0.999529,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3412873,2.692443,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3421889,6.522849,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3424109,39.67712,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3429014,40.404827,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3429230,53.621559,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3439158,63.277912,
ils,first,['exchange'],random,0.5,100,0,N-be75eec_150,3482828,3439158,99.148506,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3411727,1.052908,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3412873,2.69414,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3421889,6.507292,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3424109,39.819378,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3429014,40.484764,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3429230,53.585285,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3439158,63.09399,
ils,first,['exchange'],random,0.5,100,10,N-be75eec_150,3482828,3439158,99.129311,
ils,first,['exchange'],random,0.8,10,0,N-be75eec_150,3482828,3400644,0.359091,
ils,first,['exchange'],random,0.8,10,0,N-be75eec_150,3482828,3422392,1.442097,
ils,first,['exchange'],random,0.8,10,0,N-be75eec_150,3482828,3422392,5.207949,
ils,first,['exchange'],random,0.8,10,10,N-be75eec_150,3482828,3400644,0.36878,
ils,first,['exchange'],random,0.8,10,10,N-be75eec_150,3482828,3422392,1.490558,
ils,first,['exchange'],random,0.8,10,10,N-be75eec_150,3482828,3422392,5.19717,
ils,first,['exchange'],random,0.8,100,0,N-be75eec_150,3482828,3400644,0.401216,
ils,first,['exchange'],random,0.8,100,0,N-be75eec_150,3482828,3422392,1.552609,
ils,first,['exchange'],random,0.8,100,0,N-be75eec_150,3482828,3430478,9.196042,
ils,first,['exchange'],random,0.8,100,0,N-be75eec_150,3482828,3430478,48.703869,
ils,first,['exchange'],random,0.8,100,10,N-be75eec_150,3482828,3400644,0.368386,
ils,first,['exchange'],random,0.8,100,10,N-be75eec_150,3482828,3422392,1.52657,
ils,first,['exchange'],random,0.8,100,10,N-be75eec_150,3482828,3430478,9.187852,
ils,first,['exchange'],random,0.8,100,10,N-be75eec_150,3482828,3430478,48.629009,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3406291,0.274226,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3408428,2.308057,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3409199,2.519206,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3413398,2.773193,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3419250,3.040111,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3423288,3.569509,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3429641,4.095086,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3432934,4.429488,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3433182,4.685352,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3438660,4.920465,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,N-be75eec_150,3482828,3438660,7.407227,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3406291,0.276192,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3408428,2.31176,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3409199,2.537573,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3413398,2.789954,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3419250,3.061054,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3423288,3.605889,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3429641,4.144371,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3432934,4.471281,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3433182,4.742679,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3438660,4.982595,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,N-be75eec_150,3482828,3438660,7.531455,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3406291,0.261535,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3408428,2.341704,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3409199,2.525613,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3413398,2.774808,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3419250,3.034317,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3423288,3.53229,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3429641,4.050777,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3432934,4.409089,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3433182,4.664487,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3438660,4.88852,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3440334,9.717374,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3447470,13.616812,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449539,19.491821,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449701,22.401043,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449850,33.160213,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449923,34.553436,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3453264,36.128914,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3456210,42.738422,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3457534,52.484341,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3457534,79.019417,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3406291,0.281007,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3408428,2.362432,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3409199,2.584467,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3413398,2.865993,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3419250,3.149218,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3423288,3.650961,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3429641,4.18202,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3432934,4.505799,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3433182,4.780111,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3438660,5.013382,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3440334,9.904746,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3447470,13.928468,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3449539,19.88847,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3449701,22.80134,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3449850,33.547939,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3449923,34.972164,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3453264,36.590324,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3456210,43.129089,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3457534,52.995617,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,N-be75eec_150,3482828,3457534,80.042061,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,0,N-be75eec_150,3482828,3429190,0.736084,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,0,N-be75eec_150,3482828,3437755,1.486888,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,0,N-be75eec_150,3482828,3438426,3.822451,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,0,N-be75eec_150,3482828,3438426,7.850806,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,10,N-be75eec_150,3482828,3429190,0.717713,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,10,N-be75eec_150,3482828,3437755,1.487522,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,10,N-be75eec_150,3482828,3438426,3.76679,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,10,N-be75eec_150,3482828,3438426,7.689885,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3429190,0.724675,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3437755,1.486765,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3438426,3.785045,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3441583,10.084547,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3446212,26.570923,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3448550,33.949902,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,N-be75eec_150,3482828,3448550,71.749733,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,10,N-be75eec_150,3482828,3429190,0.740271,
