instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t75n11xx_150,1743094,c_and_w,first,"['transpose', 'insert', 'exchange']",406940,2.52065,
N-tiw56n54_150,837945,c_and_w,first,"['transpose', 'exchange', 'insert']",173534,2.59651,
N-tiw56n54_150,837945,c_and_w,first,"['transpose', 'insert', 'exchange']",171414,2.3509,
N-tiw56n58_150,1155392,c_and_w,first,"['transpose', 'exchange', 'insert']",228529,2.86175,
N-tiw56n58_150,1155392,c_and_w,first,"['transpose', 'insert', 'exchange']",210766,2.15136,
N-tiw56n62_150,1626921,c_and_w,first,"['transpose', 'exchange', 'insert']",327914,2.87994,
N-tiw56n62_150,1626921,c_and_w,first,"['transpose', 'insert', 'exchange']",314739,1.89936,
N-tiw56n66_150,2107619,c_and_w,first,"['transpose', 'exchange', 'insert']",447865,3.40387,
N-tiw56n66_150,2107619,c_and_w,first,"['transpose', 'insert', 'exchange']",429355,3.27499,
N-tiw56n67_150,2372926,c_and_w,first,"['transpose', 'exchange', 'insert']",535082,3.21749,
N-tiw56n67_150,2372926,c_and_w,first,"['transpose', 'insert', 'exchange']",495960,2.5468,
N-tiw56n72_150,4135907,c_and_w,first,"['transpose', 'exchange', 'insert']",946536,3.04571,
N-tiw56n72_150,4135907,c_and_w,first,"['transpose', 'insert', 'exchange']",898664,2.91032,
N-tiw56r54_150,958192,c_and_w,first,"['transpose', 'exchange', 'insert']",202722,2.63343,
N-tiw56r54_150,958192,c_and_w,first,"['transpose', 'insert', 'exchange']",203630,2.267,
N-tiw56r58_150,1219295,c_and_w,first,"['transpose', 'exchange', 'insert']",241902,2.67453,
N-tiw56r58_150,1219295,c_and_w,first,"['transpose', 'insert', 'exchange']",247594,3.16978,
N-tiw56r66_150,1940755,c_and_w,first,"['transpose', 'exchange', 'insert']",385557,2.7449,
N-tiw56r66_150,1940755,c_and_w,first,"['transpose', 'insert', 'exchange']",352606,2.01794,
N-tiw56r67_150,2056347,c_and_w,first,"['transpose', 'exchange', 'insert']",388750,2.8175,
N-tiw56r67_150,2056347,c_and_w,first,"['transpose', 'insert', 'exchange']",369733,2.46972,
N-tiw56r72_150,2823758,c_and_w,first,"['transpose', 'exchange', 'insert']",688162,3.46995,
N-tiw56r72_150,2823758,c_and_w,first,"['transpose', 'insert', 'exchange']",620331,1.54238,
N-be75eec_250,8893533,c_and_w,first,"['transpose', 'exchange', 'insert']",1805092,35.6021,
N-be75eec_250,8893533,c_and_w,first,"['transpose', 'insert', 'exchange']",1638052,25.9474,
N-be75np_250,17814072,c_and_w,first,"['transpose', 'exchange', 'insert']",3403005,34.9352,
N-be75np_250,17814072,c_and_w,first,"['transpose', 'insert', 'exchange']",3120278,25.2677,
N-be75oi_250,5910096,c_and_w,first,"['transpose', 'exchange', 'insert']",1020008,42.2225,
N-be75oi_250,5910096,c_and_w,first,"['transpose', 'insert', 'exchange']",978966,29.4026,
N-be75tot_250,30958609,c_and_w,first,"['transpose', 'exchange', 'insert']",5926843,39.0106,
N-be75tot_250,30958609,c_and_w,first,"['transpose', 'insert', 'exchange']",5610850,29.1666,
N-stabu1_250,7742444,c_and_w,first,"['transpose', 'exchange', 'insert']",1460167,34.7668,
N-stabu1_250,7742444,c_and_w,first,"['transpose', 'insert', 'exchange']",1350144,31.0868,
N-stabu2_250,11500448,c_and_w,first,"['transpose', 'exchange', 'insert']",2214952,34.9725,
N-stabu2_250,11500448,c_and_w,first,"['transpose', 'insert', 'exchange']",2080861,28.894,
N-stabu3_250,11900315,c_and_w,first,"['transpose', 'exchange', 'insert']",2463305,40.9737,
N-stabu3_250,11900315,c_and_w,first,"['transpose', 'insert', 'exchange']",2223166,25.4673,
N-t59b11xx_250,8411910,c_and_w,first,"['transpose', 'exchange', 'insert']",1586655,26.7394,
