instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-stabu3_150,4510445,c_and_w,best,['exchange'],890737,0.41707,
N-stabu3_150,4510445,random,best,['insert'],1789387,1.99459,
N-stabu3_150,4510445,c_and_w,best,['insert'],912892,2.14342,
N-t59b11xx_150,3239550,random,first,['transpose'],26965,0.001835,
N-t59b11xx_150,3239550,c_and_w,first,['transpose'],29855,0.002118,
N-t59b11xx_150,3239550,random,first,['exchange'],1009415,1.70225,
N-t59b11xx_150,3239550,c_and_w,first,['exchange'],735040,1.55792,
N-t59b11xx_150,3239550,random,first,['insert'],911445,1.48143,
N-t59b11xx_150,3239550,c_and_w,first,['insert'],684165,1.3505,
N-t59b11xx_150,3239550,random,best,['transpose'],23640,0.003168,
N-t59b11xx_150,3239550,c_and_w,best,['transpose'],33080,0.003793,
N-t59b11xx_150,3239550,random,best,['exchange'],963665,0.480393,
N-t59b11xx_150,3239550,c_and_w,best,['exchange'],724545,0.447325,
N-t59b11xx_150,3239550,random,best,['insert'],952320,1.84975,
N-t59b11xx_150,3239550,c_and_w,best,['insert'],703135,1.59132,
N-t59d11xx_150,1462697,random,first,['transpose'],22441,0.002681,
N-t59d11xx_150,1462697,c_and_w,first,['transpose'],20839,0.002373,
N-t59d11xx_150,1462697,random,first,['exchange'],498177,1.5227,
N-t59d11xx_150,1462697,c_and_w,first,['exchange'],326619,1.96567,
N-t59d11xx_150,1462697,random,first,['insert'],495788,1.59733,
N-t59d11xx_150,1462697,c_and_w,first,['insert'],312205,1.54943,
N-t59d11xx_150,1462697,random,best,['transpose'],25076,0.004683,
N-t59d11xx_150,1462697,c_and_w,best,['transpose'],21309,0.004437,
N-t59d11xx_150,1462697,random,best,['exchange'],486240,0.496093,
N-t59d11xx_150,1462697,c_and_w,best,['exchange'],323345,0.423883,
N-t59d11xx_150,1462697,random,best,['insert'],482647,2.15568,
N-t59d11xx_150,1462697,c_and_w,best,['insert'],315516,1.80617,
N-t59f11xx_150,1543733,random,first,['transpose'],23940,0.003355,
N-t59f11xx_150,1543733,c_and_w,first,['transpose'],23729,0.003252,
N-t59f11xx_150,1543733,random,first,['exchange'],491803,1.90447,
N-t59f11xx_150,1543733,c_and_w,first,['exchange'],316888,2.02594,
N-t59f11xx_150,1543733,random,first,['insert'],489461,1.50832,
N-t59f11xx_150,1543733,c_and_w,first,['insert'],300632,1.688,
N-t59f11xx_150,1543733,random,best,['transpose'],27445,0.004099,
N-t59f11xx_150,1543733,c_and_w,best,['transpose'],25689,0.004001,
N-t59f11xx_150,1543733,random,best,['exchange'],492464,0.512957,
N-t59f11xx_150,1543733,c_and_w,best,['exchange'],311873,0.509182,
N-t59f11xx_150,1543733,random,best,['insert'],495203,2.22078,
N-t59f11xx_150,1543733,c_and_w,best,['insert'],313945,2.00442,
N-t59n11xx_150,318960,random,first,['transpose'],5870,0.00355,
N-t59n11xx_150,318960,c_and_w,first,['transpose'],1939,0.003264,
N-t59n11xx_150,318960,random,first,['exchange'],111121,2.47459,
N-t59n11xx_150,318960,c_and_w,first,['exchange'],76195,1.85289,
N-t59n11xx_150,318960,random,first,['insert'],107338,1.91447,
N-t59n11xx_150,318960,c_and_w,first,['insert'],69859,1.81743,
N-t59n11xx_150,318960,random,best,['transpose'],4312,0.004217,
N-t59n11xx_150,318960,c_and_w,best,['transpose'],2212,0.004525,
N-t59n11xx_150,318960,random,best,['exchange'],111126,0.671462,
N-t59n11xx_150,318960,c_and_w,best,['exchange'],73720,0.346997,
N-t59n11xx_150,318960,random,best,['insert'],112175,1.69654,
N-t59n11xx_150,318960,c_and_w,best,['insert'],75784,1.74162,
N-t65b11xx_150,6453836,random,first,['transpose'],54077,0.003878,
N-t65b11xx_150,6453836,c_and_w,first,['transpose'],100422,0.005035,
N-t65b11xx_150,6453836,random,first,['exchange'],2021679,2.86039,
N-t65b11xx_150,6453836,c_and_w,first,['exchange'],1273856,2.10493,
N-t65b11xx_150,6453836,random,first,['insert'],1859191,1.65727,
N-t65b11xx_150,6453836,c_and_w,first,['insert'],1212642,1.8611,
N-t65b11xx_150,6453836,random,best,['transpose'],69737,0.005642,
N-t65b11xx_150,6453836,c_and_w,best,['transpose'],103016,0.006447,
N-t65b11xx_150,6453836,random,best,['exchange'],1888323,0.61885,
N-t65b11xx_150,6453836,c_and_w,best,['exchange'],1249389,0.4987,
N-t65b11xx_150,6453836,random,best,['insert'],1914519,2.23011,
N-t65b11xx_150,6453836,c_and_w,best,['insert'],1278742,1.87359,
N-t65d11xx_150,3559347,random,first,['transpose'],44265,0.005289,
N-t65d11xx_150,3559347,c_and_w,first,['transpose'],36805,0.004504,
N-t65d11xx_150,3559347,random,first,['exchange'],1110047,2.48878,
N-t65d11xx_150,3559347,c_and_w,first,['exchange'],702819,1.56641,
N-t65d11xx_150,3559347,random,first,['insert'],1073964,2.57245,
N-t65d11xx_150,3559347,c_and_w,first,['insert'],659825,2.06713,
N-t65d11xx_150,3559347,random,best,['transpose'],56853,0.006436,
N-t65d11xx_150,3559347,c_and_w,best,['transpose'],48929,0.005608,
N-t65d11xx_150,3559347,random,best,['exchange'],1094676,0.620885,
N-t65d11xx_150,3559347,c_and_w,best,['exchange'],688728,0.490335,
N-t65d11xx_150,3559347,random,best,['insert'],1091306,2.29484,
N-t65d11xx_150,3559347,c_and_w,best,['insert'],723821,1.2607,
N-t65f11xx_150,3159326,random,first,['transpose'],52582,0.004931,
N-t65f11xx_150,3159326,c_and_w,first,['transpose'],77347,0.005361,
N-t65f11xx_150,3159326,random,first,['exchange'],889195,2.54914,
N-t65f11xx_150,3159326,c_and_w,first,['exchange'],699337,1.81328,
N-t65f11xx_150,3159326,random,first,['insert'],886427,1.94218,
N-t65f11xx_150,3159326,c_and_w,first,['insert'],684473,1.80124,
N-t65f11xx_150,3159326,random,best,['transpose'],59136,0.004961,
N-t65f11xx_150,3159326,c_and_w,best,['transpose'],75295,0.004611,
N-t65f11xx_150,3159326,random,best,['exchange'],845732,0.366275,
N-t65f11xx_150,3159326,c_and_w,best,['exchange'],692708,0.700094,
N-t65f11xx_150,3159326,random,best,['insert'],868718,2.11258,
N-t65f11xx_150,3159326,c_and_w,best,['insert'],679305,1.56783,
N-t65l11xx_150,253396,random,first,['transpose'],7753,0.00106,
N-t65l11xx_150,253396,c_and_w,first,['transpose'],1985,0.001088,
N-t65l11xx_150,253396,random,first,['exchange'],123305,2.22961,
N-t65l11xx_150,253396,c_and_w,first,['exchange'],40407,1.74384,
N-t65l11xx_150,253396,random,first,['insert'],118755,1.35193,
N-t65l11xx_150,253396,c_and_w,first,['insert'],35486,1.39839,
N-t65l11xx_150,253396,random,best,['transpose'],7931,0.001719,
N-t65l11xx_150,253396,c_and_w,best,['transpose'],2886,0.002018,
N-t65l11xx_150,253396,random,best,['exchange'],120334,0.549715,
N-t65l11xx_150,253396,c_and_w,best,['exchange'],37082,0.553924,
N-t65l11xx_150,253396,random,best,['insert'],118062,2.17275,
N-t65l11xx_150,253396,c_and_w,best,['insert'],38319,1.85421,
N-t65n11xx_150,550733,random,first,['transpose'],5395,0.004241,
N-t65n11xx_150,550733,c_and_w,first,['transpose'],4957,0.003019,
N-t65n11xx_150,550733,random,first,['exchange'],198070,2.75572,
N-t65n11xx_150,550733,c_and_w,first,['exchange'],131409,1.92406,
N-t65n11xx_150,550733,random,first,['insert'],190034,1.41285,
N-t65n11xx_150,550733,c_and_w,first,['insert'],119565,1.7609,
N-t65n11xx_150,550733,random,best,['transpose'],8626,0.005137,
N-t65n11xx_150,550733,c_and_w,best,['transpose'],6038,0.002928,
N-t65n11xx_150,550733,random,best,['exchange'],193875,0.347231,
N-t65n11xx_150,550733,c_and_w,best,['exchange'],123064,0.285798,
N-t65n11xx_150,550733,random,best,['insert'],194465,1.76892,
N-t65n11xx_150,550733,c_and_w,best,['insert'],131365,1.89136,
N-t69r11xx_150,11855957,random,first,['transpose'],182967,0.004111,
N-t69r11xx_150,11855957,c_and_w,first,['transpose'],33594,0.00345,
N-t69r11xx_150,11855957,random,first,['exchange'],3930743,2.3538,
N-t69r11xx_150,11855957,c_and_w,first,['exchange'],2897446,2.06965,
N-t69r11xx_150,11855957,random,first,['insert'],3784855,0.855086,
N-t69r11xx_150,11855957,c_and_w,first,['insert'],2796856,1.62333,
N-t69r11xx_150,11855957,random,best,['transpose'],114063,0.004744,
N-t69r11xx_150,11855957,c_and_w,best,['transpose'],62639,0.004232,
N-t69r11xx_150,11855957,random,best,['exchange'],3922939,0.581518,
N-t69r11xx_150,11855957,c_and_w,best,['exchange'],2746332,0.552134,
N-t69r11xx_150,11855957,random,best,['insert'],3974776,2.01321,
N-t69r11xx_150,11855957,c_and_w,best,['insert'],2899211,2.49816,
N-t70b11xx_150,9647229,random,first,['transpose'],221935,0.004319,
N-t70b11xx_150,9647229,c_and_w,first,['transpose'],109247,0.004181,
N-t70b11xx_150,9647229,random,first,['exchange'],3404177,2.3383,
N-t70b11xx_150,9647229,c_and_w,first,['exchange'],2108680,2.62566,
N-t70b11xx_150,9647229,random,first,['insert'],3151215,1.33116,
N-t70b11xx_150,9647229,c_and_w,first,['insert'],1902124,1.88115,
N-t70b11xx_150,9647229,random,best,['transpose'],177910,0.004942,
N-t70b11xx_150,9647229,c_and_w,best,['transpose'],117216,0.005065,
N-t70b11xx_150,9647229,random,best,['exchange'],3304312,0.528041,
N-t70b11xx_150,9647229,c_and_w,best,['exchange'],2096572,0.509975,
N-t70b11xx_150,9647229,random,best,['insert'],3351529,1.98431,
N-t70b11xx_150,9647229,c_and_w,best,['insert'],2065463,2.26505,
N-t70d11xn_150,5825147,random,first,['transpose'],103670,0.006079,
N-t70d11xn_150,5825147,c_and_w,first,['transpose'],94013,0.006298,
N-t70d11xn_150,5825147,random,first,['exchange'],2127290,2.86675,
N-t70d11xn_150,5825147,c_and_w,first,['exchange'],1213552,2.06269,
N-t70d11xn_150,5825147,random,first,['insert'],2087197,1.99813,
N-t70d11xn_150,5825147,c_and_w,first,['insert'],1182757,2.05691,
N-t70d11xn_150,5825147,random,best,['transpose'],103550,0.005565,
N-t70d11xn_150,5825147,c_and_w,best,['transpose'],71321,0.004511,
N-t70d11xn_150,5825147,random,best,['exchange'],2077070,0.515492,
N-t70d11xn_150,5825147,c_and_w,best,['exchange'],1132148,0.630739,
N-t70d11xn_150,5825147,random,best,['insert'],2124829,1.79484,
N-t70d11xn_150,5825147,c_and_w,best,['insert'],1215513,1.76804,
N-t70d11xx_150,6174178,random,first,['transpose'],253083,0.006132,
N-t70d11xx_150,6174178,c_and_w,first,['transpose'],98975,0.0066,
N-t70d11xx_150,6174178,random,first,['exchange'],1938267,2.31867,
N-t70d11xx_150,6174178,c_and_w,first,['exchange'],1155672,2.59895,
N-t70d11xx_150,6174178,random,first,['insert'],1907143,2.25457,
N-t70d11xx_150,6174178,c_and_w,first,['insert'],997107,2.09058,
N-t70d11xx_150,6174178,random,best,['transpose'],228368,0.008124,
N-t70d11xx_150,6174178,c_and_w,best,['transpose'],106868,0.007914,
N-t70d11xx_150,6174178,random,best,['exchange'],1883496,0.61011,
N-t70d11xx_150,6174178,c_and_w,best,['exchange'],1150721,0.539695,
N-t70d11xx_150,6174178,random,best,['insert'],1922848,2.12092,
N-t70d11xx_150,6174178,c_and_w,best,['insert'],1134404,1.81479,
N-t70f11xx_150,5150097,random,first,['transpose'],56909,0.005827,
N-t70f11xx_150,5150097,c_and_w,first,['transpose'],63049,0.004951,
N-t70f11xx_150,5150097,random,first,['exchange'],1760104,2.19682,
N-t70f11xx_150,5150097,c_and_w,first,['exchange'],1010864,1.04348,
N-t70f11xx_150,5150097,random,first,['insert'],1775831,1.48736,
N-t70f11xx_150,5150097,c_and_w,first,['insert'],958645,2.1603,
N-t70f11xx_150,5150097,random,best,['transpose'],64023,0.006962,
N-t70f11xx_150,5150097,c_and_w,best,['transpose'],72297,0.006266,
N-t70f11xx_150,5150097,random,best,['exchange'],1748006,0.455826,
N-t70f11xx_150,5150097,c_and_w,best,['exchange'],983277,0.599142,
N-t70f11xx_150,5150097,random,best,['insert'],1749703,2.03979,
N-t70f11xx_150,5150097,c_and_w,best,['insert'],1020103,1.67086,
N-t70l11xx_150,436862,random,first,['transpose'],3406,0.002146,
N-t70l11xx_150,436862,c_and_w,first,['transpose'],9524,0.002085,
N-t70l11xx_150,436862,random,first,['exchange'],155037,2.29187,
N-t70l11xx_150,436862,c_and_w,first,['exchange'],118854,1.785,
N-t70l11xx_150,436862,random,first,['insert'],146057,1.39417,
N-t70l11xx_150,436862,c_and_w,first,['insert'],116549,1.34281,
N-t70l11xx_150,436862,random,best,['transpose'],3406,0.002662,
N-t70l11xx_150,436862,c_and_w,best,['transpose'],9533,0.002722,
N-t70l11xx_150,436862,random,best,['exchange'],151885,0.412242,
N-t70l11xx_150,436862,c_and_w,best,['exchange'],110089,0.449228,
N-t70l11xx_150,436862,random,best,['insert'],147711,1.80948,
N-t70l11xx_150,436862,c_and_w,best,['insert'],113846,1.25636,
N-t70n11xx_150,948913,random,first,['transpose'],8006,0.005339,
N-t70n11xx_150,948913,c_and_w,first,['transpose'],7284,0.003372,
N-t70n11xx_150,948913,random,first,['exchange'],332420,3.12034,
N-t70n11xx_150,948913,c_and_w,first,['exchange'],234118,2.03867,
N-t70n11xx_150,948913,random,first,['insert'],317047,1.56375,
N-t70n11xx_150,948913,c_and_w,first,['insert'],217986,2.07615,
N-t70n11xx_150,948913,random,best,['transpose'],14941,0.005352,
N-t70n11xx_150,948913,c_and_w,best,['transpose'],7592,0.004314,
N-t70n11xx_150,948913,random,best,['exchange'],324953,0.568622,
N-t70n11xx_150,948913,c_and_w,best,['exchange'],225198,0.553662,
N-t70n11xx_150,948913,random,best,['insert'],334877,1.59138,
N-t70n11xx_150,948913,c_and_w,best,['insert'],214399,2.03248,
N-t74d11xx_150,9396044,random,first,['transpose'],171363,0.00625,
N-t74d11xx_150,9396044,c_and_w,first,['transpose'],110650,0.006983,
N-t74d11xx_150,9396044,random,first,['exchange'],2988969,3.04118,
N-t74d11xx_150,9396044,c_and_w,first,['exchange'],1773354,2.5356,
N-t74d11xx_150,9396044,random,first,['insert'],2952864,1.80209,
N-t74d11xx_150,9396044,c_and_w,first,['insert'],1679692,2.46803,
N-t74d11xx_150,9396044,random,best,['transpose'],193522,0.005725,
N-t74d11xx_150,9396044,c_and_w,best,['transpose'],123069,0.0058,
N-t74d11xx_150,9396044,random,best,['exchange'],2893849,0.440394,
N-t74d11xx_150,9396044,c_and_w,best,['exchange'],1730666,0.507782,
N-t74d11xx_150,9396044,random,best,['insert'],2839828,2.21026,
N-t74d11xx_150,9396044,c_and_w,best,['insert'],1758335,2.5673,
N-t75d11xx_150,9642140,random,first,['transpose'],162746,0.005341,
N-t75d11xx_150,9642140,c_and_w,first,['transpose'],108429,0.003915,
N-t75d11xx_150,9642140,random,first,['exchange'],3436892,1.96747,
N-t75d11xx_150,9642140,c_and_w,first,['exchange'],1933831,2.82418,
N-t75d11xx_150,9642140,random,first,['insert'],3258851,2.33704,
N-t75d11xx_150,9642140,c_and_w,first,['insert'],1862065,2.71016,
N-t75d11xx_150,9642140,random,best,['transpose'],221441,0.00763,
N-t75d11xx_150,9642140,c_and_w,best,['transpose'],132822,0.006666,
N-t75d11xx_150,9642140,random,best,['exchange'],3280699,0.633753,
N-t75d11xx_150,9642140,c_and_w,best,['exchange'],1843353,0.568648,
N-t75d11xx_150,9642140,random,best,['insert'],3361868,2.23332,
N-t75d11xx_150,9642140,c_and_w,best,['insert'],1958366,1.84394,
N-t75e11xx_150,41570193,random,first,['transpose'],712048,0.005908,
N-t75e11xx_150,41570193,c_and_w,first,['transpose'],1220992,0.006593,
N-t75e11xx_150,41570193,random,first,['exchange'],14134747,3.23312,
N-t75e11xx_150,41570193,c_and_w,first,['exchange'],9054353,2.44054,
N-t75e11xx_150,41570193,random,first,['insert'],13312476,2.29695,
N-t75e11xx_150,41570193,c_and_w,first,['insert'],7907632,1.66436,
N-t75e11xx_150,41570193,random,best,['transpose'],840001,0.006995,
N-t75e11xx_150,41570193,c_and_w,best,['transpose'],1069405,0.007261,
N-t75e11xx_150,41570193,random,best,['exchange'],13997067,0.680646,
N-t75e11xx_150,41570193,c_and_w,best,['exchange'],8325198,0.441333,
